                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 2.8514,                 3.9689,                 2.3892,                0.00017,                0.05263,                0.00023,                  4e-05,                  3.512,                 6.3893,                 4.2115,              0.0093268,              0.0093268,              0.0093268
                     70,                 2.8741,                  3.787,                 2.3565,                 0.5004,                0.05263,                0.00047,                0.00018,                 3.3818,                 5.0043,                 3.1054,              0.0093169,              0.0093169,              0.0093169
                     71,                 2.9911,                 3.9161,                 2.4372,                0.00017,                0.05263,                0.00077,                0.00017,                 3.3453,                 4.6458,                 3.0596,               0.009307,               0.009307,               0.009307
                     72,                  2.811,                  3.651,                  2.314,                0.00033,                0.10526,                0.00023,                  7e-05,                 3.3917,                 8.0628,                   3.11,              0.0092971,              0.0092971,              0.0092971
                     73,                  2.885,                 3.6307,                 2.3594,                0.00051,                0.15789,                0.00035,                0.00011,                 3.5116,                 4.6851,                 3.2268,              0.0092872,              0.0092872,              0.0092872
                     74,                 2.9164,                 3.8361,                  2.354,                0.00025,                0.07895,                0.00016,                  5e-05,                 3.5571,                 4.7904,                 3.2083,              0.0092773,              0.0092773,              0.0092773
                     75,                 3.0417,                  3.933,                 2.4163,                0.00017,                0.05263,                0.00015,                  3e-05,                 4.1203,                 7.4336,                 3.9018,              0.0092674,              0.0092674,              0.0092674
                     76,                 2.8851,                 4.0473,                 2.4224,                  9e-05,                0.02632,                  5e-05,                  1e-05,                 3.9166,                 5.4016,                 3.7185,              0.0092575,              0.0092575,              0.0092575
                     77,                 2.9199,                 3.7403,                  2.279,                  9e-05,                0.02632,                  5e-05,                      0,                 3.7747,                 5.4213,                 3.3668,              0.0092476,              0.0092476,              0.0092476
                     78,                 2.9395,                 3.7919,                 2.3256,                  8e-05,                0.02632,                  4e-05,                  1e-05,                 3.6678,                 5.0286,                 3.1581,              0.0092377,              0.0092377,              0.0092377
                     79,                 2.9511,                  3.819,                 2.3611,                0.00025,                0.07895,                0.00015,                  4e-05,                 3.7274,                 5.0979,                  3.061,              0.0092278,              0.0092278,              0.0092278
                     80,                 2.8484,                 3.7507,                 2.3157,                0.00034,                0.10526,                0.00027,                  5e-05,                 3.6218,                   5.13,                 3.0749,              0.0092179,              0.0092179,              0.0092179
                     81,                 2.9585,                 3.9804,                 2.3055,                0.00026,                0.07895,                0.00021,                  4e-05,                  3.507,                 4.9429,                 3.0133,               0.009208,               0.009208,               0.009208
                     82,                 2.8815,                 3.5505,                 2.4332,                0.00017,                0.05263,                 0.0001,                  2e-05,                 3.4344,                 6.4385,                 2.9266,              0.0091981,              0.0091981,              0.0091981
                     83,                 2.9021,                 3.5937,                 2.2772,                  8e-05,                0.02632,                  4e-05,                  1e-05,                 3.4657,                 6.1449,                 3.0893,              0.0091882,              0.0091882,              0.0091882
