                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    118,                0.81679,                0.76942,                 1.0572,                0.58571,                 0.4531,                0.42925,                0.30959,                 1.2839,                 1.8233,                 1.4965,              0.0088417,              0.0088417,              0.0088417
                    119,                0.79376,                0.74937,                 1.0433,                0.57155,                0.43661,                0.41808,                0.30582,                 1.3139,                 1.7877,                  1.528,              0.0088318,              0.0088318,              0.0088318
                    120,                0.79459,                0.72405,                 1.0358,                0.60164,                0.39414,                0.43911,                0.30517,                 1.3338,                  1.793,                  1.557,              0.0088219,              0.0088219,              0.0088219
                    121,                0.79262,                 0.7538,                 1.0389,                0.63053,                0.45155,                0.47716,                0.31721,                 1.3085,                 1.8802,                 1.5313,               0.008812,               0.008812,               0.008812
                    122,                0.79326,                0.71941,                 1.0361,                0.64956,                0.40938,                0.41903,                0.29861,                 1.3188,                 1.8595,                 1.5199,              0.0088021,              0.0088021,              0.0088021
                    123,                 0.8071,                0.70901,                 1.0524,                0.55174,                0.40879,                0.39376,                0.28913,                 1.3267,                 1.7312,                 1.5374,              0.0087922,              0.0087922,              0.0087922
                    124,                0.77533,                0.70229,                 1.0302,                0.64428,                0.37511,                0.39689,                 0.2964,                 1.3051,                 1.8213,                 1.5081,              0.0087823,              0.0087823,              0.0087823
                    125,                0.79368,                0.72539,                 1.0389,                0.71293,                0.37643,                0.43039,                0.29777,                 1.3232,                 1.8293,                  1.519,              0.0087724,              0.0087724,              0.0087724
                    126,                0.77844,                0.69893,                 1.0354,                0.59363,                0.42767,                0.43864,                0.30552,                 1.3045,                 1.7891,                 1.5158,              0.0087625,              0.0087625,              0.0087625
                    127,                0.78874,                0.71295,                 1.0376,                0.57695,                0.44303,                0.43678,                0.30419,                 1.3255,                 1.7834,                 1.5308,              0.0087526,              0.0087526,              0.0087526
                    128,                  0.772,                0.71211,                 1.0309,                0.57012,                0.46852,                0.43596,                0.28107,                 1.3336,                 1.9263,                 1.5305,              0.0087427,              0.0087427,              0.0087427
                    129,                0.79077,                 0.7024,                 1.0339,                0.70581,                0.40233,                  0.428,                0.28297,                 1.3186,                 1.7914,                 1.5222,              0.0087328,              0.0087328,              0.0087328
                    130,                0.78697,                0.68278,                 1.0389,                0.66752,                0.41941,                0.45305,                0.31516,                  1.295,                 1.7548,                 1.5118,              0.0087229,              0.0087229,              0.0087229
                    131,                0.77775,                0.69682,                 1.0251,                 0.4876,                0.46559,                0.42514,                0.28378,                 1.2889,                 1.7771,                 1.4982,               0.008713,               0.008713,               0.008713
                    132,                0.78574,                0.71383,                 1.0306,                0.71319,                 0.3831,                0.41256,                0.29951,                 1.2844,                 1.8726,                 1.5061,              0.0087031,              0.0087031,              0.0087031
                    133,                0.77122,                0.68838,                 1.0311,                0.63097,                0.38648,                0.41697,                0.29763,                 1.3022,                 1.9041,                 1.5086,              0.0086932,              0.0086932,              0.0086932
                    134,                0.77083,                0.69245,                 1.0307,                0.68746,                0.41632,                  0.422,                0.28623,                 1.3462,                 1.8754,                 1.5633,              0.0086833,              0.0086833,              0.0086833
                    135,                0.76383,                0.68904,                 1.0367,                0.48997,                0.39878,                0.42362,                0.29718,                  1.329,                 1.9202,                 1.5469,              0.0086734,              0.0086734,              0.0086734
                    136,                0.76464,                0.68802,                 1.0252,                0.56278,                0.46974,                0.42222,                0.30052,                 1.3403,                 1.8046,                 1.5575,              0.0086635,              0.0086635,              0.0086635
                    137,                0.76096,                0.69021,                 1.0279,                0.57096,                0.39615,                0.41978,                0.29642,                 1.3441,                   1.97,                  1.526,              0.0086536,              0.0086536,              0.0086536
                    138,                0.75272,                0.68229,                 1.0212,                 0.5008,                 0.4142,                0.41593,                0.29189,                 1.3413,                 1.9141,                 1.5442,              0.0086437,              0.0086437,              0.0086437
                    139,                 0.7756,                0.68945,                 1.0349,                 0.7202,                0.36428,                0.40914,                0.29817,                 1.3463,                 1.9953,                 1.5493,              0.0086338,              0.0086338,              0.0086338
                    140,                0.77919,                0.68763,                 1.0311,                0.70525,                0.36069,                0.40213,                0.27749,                 1.3329,                 1.9218,                 1.5321,              0.0086239,              0.0086239,              0.0086239
                    141,                0.77775,                0.67883,                 1.0279,                0.72261,                0.35482,                0.40881,                0.29546,                 1.3326,                 1.9949,                 1.5402,               0.008614,               0.008614,               0.008614
                    142,                0.76864,                 0.6872,                  1.025,                0.59894,                0.41026,                0.41141,                0.30884,                 1.3436,                 1.9365,                 1.5252,              0.0086041,              0.0086041,              0.0086041
                    143,                0.74988,                0.67145,                 1.0161,                0.62083,                0.40612,                0.42697,                0.29647,                 1.3358,                 1.8902,                 1.5586,              0.0085942,              0.0085942,              0.0085942
                    144,                0.75912,                0.65737,                  1.021,                 0.6994,                0.35668,                0.40761,                0.29858,                 1.3356,                 1.8188,                 1.5266,              0.0085843,              0.0085843,              0.0085843
                    145,                0.74931,                0.65779,                  1.011,                0.60884,                0.43509,                0.45974,                0.30632,                 1.3248,                 1.9208,                 1.5345,              0.0085744,              0.0085744,              0.0085744
                    146,                0.75634,                 0.6625,                 1.0278,                0.57931,                0.44555,                0.43331,                0.30756,                 1.3098,                 1.8576,                  1.522,              0.0085645,              0.0085645,              0.0085645
                    147,                0.74828,                0.64794,                 1.0156,                0.51192,                0.44614,                0.39653,                  0.297,                 1.2982,                 1.8997,                 1.5362,              0.0085546,              0.0085546,              0.0085546
                    148,                0.75259,                 0.6388,                   1.01,                0.68692,                0.37281,                0.41425,                0.29607,                 1.3231,                  1.878,                 1.5509,              0.0085447,              0.0085447,              0.0085447
